, , , , , ,Sözle?me ve Sertifika Say?s?,Sözle?me ve Sertifika Say?s?,Sözle?me ve Sertifika Say?s?,Sözle?me ve Sertifika Say?s?,Yat?r?ma Yönlenen Tutar (TL),Yat?r?ma Yönlenen Tutar (TL),Yat?r?ma Yönlenen Tutar (TL),Yat?r?ma Yönlenen Tutar (TL)
Emeklilik ?irketi,Kat?l?mc? Say?s?,Kat?l?mc?lar?n Fon Tutar? (TL),Devlet Katk?s? Fon Tutar? (TL),Katk? Pay? Tutar? (TL),Emekli Olan Kat?l?mc? Say?s?,Bireysel Emeklilik Sözle?meleri,Gruba Ba?l? Bireysel Emeklilik Sözle?meleri,??veren Grup Emeklilik Sertifikalar?,Toplam,Bireysel Emeklilik Sözle?meleri,Gruba Ba?l? Bireysel Emeklilik Sözle?meleri,??veren Grup Emeklilik Sertifikalar?,Toplam
Aegon Emeklilik ve Hayat,"198,322","635,202,683","67,002,920","479,193,503","2,857","154,636","67,249","4,272","226,157","368,454,210","91,223,680","8,670,316","468,348,205"
Allianz Hayat ve Emeklilik,"519,608","12,660,451,840","1,379,205,552","8,801,850,697","17,237","501,858","79,620","21,526","603,004","7,197,230,987","1,277,099,889","243,834,603","8,718,165,479"
Allianz Ya?am ve Emeklilik,"3,798,716","54,009,854,175","5,086,365,792","37,707,656,956","50,241","3,119,410","632,403","805,747","4,557,560","25,964,033,318","7,749,175,696","3,423,630,135","37,136,839,149"
Anadolu Hayat Emeklilik,"5,684,035","70,939,067,810","9,636,003,651","53,375,542,331","104,192","4,864,489","1,578,763","180,344","6,623,596","39,522,054,741","12,044,752,015","1,106,465,349","52,673,272,105"
Avivasa Emeklilik ve Hayat,"4,298,914","75,728,692,405","8,905,059,743","55,977,532,079","80,489","4,885,493","332,121","233,705","5,451,319","48,133,206,782","4,907,978,251","1,969,150,016","55,010,335,050"
Axa Hayat ve Emeklilik,"177,765","1,777,271,421","305,909,403","1,430,169,722",264,"214,159","6,042","2,269","222,470","1,344,843,039","51,938,241","14,392,451","1,411,173,732"
Bereket Emeklilik ve Hayat,"517,359","1,746,572,141","349,085,394","1,276,687,232",139,"151,736","251,611","138,344","541,691","539,906,167","685,570,858","42,487,150","1,267,964,175"
BNP Paribas Cardif Emeklilik,"933,973","10,100,976,140","1,277,823,207","7,687,430,159","10,888","784,194","222,475","123,803","1,130,472","5,860,818,557","1,388,669,076","343,014,054","7,592,501,686"
Cigna Finans Emeklilik ve Hayat,"481,053","3,143,989,125","566,838,730","2,685,847,558",549,"428,897","78,626","8,461","515,984","2,201,194,581","409,590,980","11,834,226","2,622,619,787"
Fiba Emeklilik ve Hayat,"478,868","7,274,797,186","731,885,879","5,410,289,441","3,233","438,181","97,545","29,083","564,809","4,055,198,710","1,061,899,343","255,284,583","5,372,382,636"
Garanti Emeklilik ve Hayat,"5,904,395","55,238,587,765","7,635,547,731","42,319,831,668","58,835","5,073,293","795,366","410,607","6,279,266","31,816,067,480","8,285,312,018","1,328,656,901","41,430,036,399"
Groupama Emeklilik,0,0,0,0,"14,870",0,0,0,0,0,0,0,0
Halk Hayat ve Emeklilik,"2,661,632","15,876,316,494","2,615,524,698","13,514,102,323","1,420","1,614,702","1,133,041","287,030","3,034,773","6,268,963,203","6,277,922,835","835,105,066","13,381,991,104"
Kat?l?m Emeklilik ve Hayat,"1,094,585","5,612,754,330","1,089,269,878","4,667,519,911",316,"979,786","250,096","264,782","1,494,664","3,331,459,898","894,497,984","316,333,857","4,542,291,739"
Metlife Emeklilik ve Hayat,"952,258","6,948,250,073","1,133,442,039","5,988,420,730","1,879","791,529","171,299","84,968","1,047,796","4,214,448,031","1,012,984,085","659,959,048","5,887,391,164"
NN Hayat ve Emeklilik,"1,311,182","13,717,624,872","1,765,790,785","10,288,659,886","21,919","1,324,104","157,077","50,857","1,532,038","8,750,578,116","1,226,952,758","154,651,479","10,132,182,353"
Vak?f Emeklilik ve Hayat,"2,611,594","30,288,092,084","3,713,774,016","22,080,717,631","36,640","3,265,310","371,686","157,112","3,794,108","16,666,783,768","4,447,995,983","757,614,859","21,872,394,610"
Ziraat Hayat ve Emeklilik,"3,142,304","17,356,970,057","3,023,642,519","14,689,244,153","5,253","2,148,204","1,130,609","267,644","3,546,457","8,663,638,349","4,385,079,124","1,404,073,666","14,452,791,138"
Grand Total,"34,766,563","383,055,470,601","49,282,171,937","288,380,695,979","411,221","30,739,981","7,355,629","3,070,554","41,166,164","214,898,879,938","56,198,642,815","12,875,157,759","283,972,680,512"
